h_mean,s_mean,v_mean,label,lighting,angle,bg
70.87527994791667,98.82631510416667,82.03294921875,10k,lamp,front,black
71.029453125,98.78978515625,82.02509114583333,10k,lamp,front,black
70.99833333333333,98.87972005208333,82.00377604166667,10k,lamp,front,black
71.0753515625,98.37407877604167,82.05662109375,10k,lamp,front,black
71.03325520833333,98.38453776041666,82.02041015625,10k,lamp,front,black
70.88623046875,98.94729817708334,81.97416341145833,10k,lamp,front,black
71.08739908854167,99.068583984375,81.94567708333334,10k,lamp,front,black
70.81268229166666,99.01738932291667,81.930546875,10k,lamp,front,black
70.45742513020834,99.384990234375,81.90466796875,10k,lamp,front,black
70.5612890625,100.03188802083334,81.87456705729167,10k,lamp,front,black
70.46198567708333,100.36958658854167,81.78430013020834,10k,lamp,front,black
70.31240234375,100.43486653645833,81.72402669270834,10k,lamp,front,black
70.61662434895834,100.39509114583333,81.75169596354166,10k,lamp,front,black
70.77840494791667,100.41616536458334,81.71867513020834,10k,lamp,front,black
70.77332682291667,100.54606119791667,81.73738606770833,10k,lamp,front,black
70.78017252604167,100.15693359375,81.76662109375,10k,lamp,front,black
70.75226888020833,100.39015299479166,81.76269205729167,10k,lamp,front,black
71.01926432291667,99.7523046875,81.86075846354167,10k,lamp,front,black
70.91473958333333,99.498857421875,81.86209635416667,10k,lamp,front,black
70.85689778645833,99.30805013020833,81.81623046875,10k,lamp,front,black
70.94517578125,99.06185221354167,81.87044921875,10k,lamp,front,black
70.67692708333334,98.91761067708333,81.85879231770834,10k,lamp,front,black
70.83346028645833,99.040966796875,81.84639973958333,10k,lamp,front,black
70.81643880208334,99.13127604166667,81.86433268229166,10k,lamp,front,black
70.89932942708333,99.01490885416666,81.83376627604167,10k,lamp,front,black
70.998046875,99.128798828125,81.820966796875,10k,lamp,front,black
70.90281901041666,99.15903971354167,81.791962890625,10k,lamp,front,black
70.700546875,99.981015625,81.682734375,10k,lamp,front,black
70.61660481770834,100.03689453125,81.72405924479166,10k,lamp,front,black
70.6155859375,99.88312174479167,81.78240559895833,10k,lamp,front,black
70.86884765625,99.047744140625,81.82262369791667,10k,lamp,front,black
71.07561848958333,99.1058984375,81.826103515625,10k,lamp,front,black
71.02607421875,99.33685872395833,81.79482096354167,10k,lamp,front,black
71.0458203125,99.207939453125,81.78753580729166,10k,lamp,front,black
71.01716796875,99.35804361979167,81.8219140625,10k,lamp,front,black
71.22002604166667,99.38409830729167,81.79798828125,10k,lamp,front,black
70.86099283854166,99.51277018229166,81.79884114583334,10k,lamp,front,black
71.15237955729167,99.36991861979166,81.79512369791667,10k,lamp,front,black
70.832451171875,99.26977864583333,81.7986328125,10k,lamp,front,black
70.88886393229167,99.67224934895833,81.74472330729166,10k,lamp,front,black
70.47943684895833,100.026083984375,81.69361979166666,10k,lamp,front,black
70.56734049479167,100.22296875,81.67275716145834,10k,lamp,front,black
70.60847981770833,100.57727864583333,81.66525390625,10k,lamp,front,black
70.4303125,100.791572265625,81.64288411458334,10k,lamp,front,black
70.57802408854167,100.25347330729167,81.66113932291667,10k,lamp,front,black
71.091484375,99.26399088541666,81.78272786458334,10k,lamp,front,black
70.92870768229167,98.627060546875,81.802138671875,10k,lamp,front,black
70.66358072916667,98.92761067708334,81.78422526041666,10k,lamp,front,black
71.01320963541667,99.121884765625,81.77028645833333,10k,lamp,front,black
70.97620442708333,98.68359375,81.81071614583334,10k,lamp,front,black
70.74216796875,99.1985546875,81.76432942708334,10k,lamp,front,black
70.94034505208333,98.78025390625,81.79918294270833,10k,lamp,front,black
71.12138671875,98.46511067708333,81.81288736979167,10k,lamp,front,black
71.17782877604166,98.434013671875,81.798896484375,10k,lamp,front,black
71.04636067708333,98.962265625,81.76506184895834,10k,lamp,front,black
70.75839192708334,98.70378580729167,81.76045572916667,10k,lamp,front,black
70.80612955729167,99.05525390625,81.753486328125,10k,lamp,front,black
70.94829427083333,99.04918619791667,81.73308919270833,10k,lamp,front,black
71.00691731770833,99.14845703125,81.72368489583333,10k,lamp,front,black
70.78637369791667,99.40013020833334,81.69366861979167,10k,lamp,front,black
70.81200846354167,99.1059765625,81.70004231770834,10k,lamp,front,black
70.91441080729167,99.226015625,81.701767578125,10k,lamp,front,black
70.65275065104167,99.13265299479167,81.71053059895833,10k,lamp,front,black
70.74647786458333,98.94281575520833,81.71344401041667,10k,lamp,front,black
70.95598307291667,98.999345703125,81.69510091145834,10k,lamp,front,black
70.9443359375,99.08798828125,81.69667643229167,10k,lamp,front,black
71.08239908854166,99.20234049479167,81.70026692708333,10k,lamp,front,black
70.64272135416667,99.326025390625,81.70570638020833,10k,lamp,front,black
71.00261067708334,99.1076171875,81.72238606770833,10k,lamp,front,black
71.31665364583333,98.23390299479166,81.77991861979167,10k,lamp,front,black
71.34072591145834,98.19903645833334,81.76428385416666,10k,lamp,front,black
71.18538411458333,97.63263997395833,81.79221354166667,10k,lamp,front,black
71.40947591145833,97.56581380208333,81.70720377604167,10k,lamp,front,black
71.08622721354166,98.24626302083334,81.66702473958334,10k,lamp,front,black
70.807099609375,98.873466796875,81.60875,10k,lamp,front,black
88.98248372395834,199.97028971354166,168.04787434895835,10k,lamp,front,turquoise
89.04990234375,199.51337239583333,167.93598958333334,10k,lamp,front,turquoise
88.35763671875,199.44301106770834,167.926943359375,10k,lamp,front,turquoise
88.22821940104167,200.01107421875,168.264306640625,10k,lamp,front,turquoise
88.90736653645833,200.02756184895833,168.27521484375,10k,lamp,front,turquoise
88.36222005208333,198.85602864583333,167.35874674479166,10k,lamp,front,turquoise
88.81183919270833,199.791923828125,168.25632161458333,10k,lamp,front,turquoise
88.888134765625,199.70993815104165,168.46511393229167,10k,lamp,front,turquoise
88.65543294270833,200.64439127604166,168.930126953125,10k,lamp,front,turquoise
88.002744140625,198.96164713541665,167.77859049479167,10k,lamp,front,turquoise
88.38492513020833,198.10097981770832,166.78527018229167,10k,lamp,front,turquoise
88.58368489583333,199.09329752604165,168.07967122395834,10k,lamp,front,turquoise
88.693193359375,198.231171875,167.05317057291666,10k,lamp,front,turquoise
88.830576171875,199.10100260416667,168.06738932291665,10k,lamp,front,turquoise
88.16383138020834,197.153876953125,166.11944986979168,10k,lamp,front,turquoise
88.17020182291667,196.38626953125,165.300029296875,10k,lamp,front,turquoise
88.374013671875,195.54446614583333,164.69905598958334,10k,lamp,front,turquoise
88.05203125,195.81703125,165.55427408854166,10k,lamp,front,turquoise
87.80794921875,196.68213216145833,165.86138997395832,10k,lamp,front,turquoise
88.12479817708333,196.745888671875,166.12055338541666,10k,lamp,front,turquoise
88.549541015625,196.40920572916667,165.78039388020832,10k,lamp,front,turquoise
87.72122721354167,196.49557291666667,165.75467122395833,10k,lamp,front,turquoise
88.30044270833334,196.1418359375,165.56027994791665,10k,lamp,front,turquoise
88.84407877604167,196.32685872395834,165.62642252604167,10k,lamp,front,turquoise
88.882626953125,196.34215494791667,165.70203125,10k,lamp,front,turquoise
88.511015625,196.370078125,165.44447916666667,10k,lamp,front,turquoise
88.766083984375,196.30623697916667,165.52166015625,10k,lamp,front,turquoise
88.699453125,196.27077799479167,165.53173828125,10k,lamp,front,turquoise
89.004697265625,196.02596028645834,165.23921875,10k,lamp,front,turquoise
89.14683919270833,195.93277669270833,165.09359700520832,10k,lamp,front,turquoise
89.09277669270833,195.76941731770833,165.389140625,10k,lamp,front,turquoise
89.18262369791667,196.37745768229166,165.8157421875,10k,lamp,front,turquoise
88.97015950520833,196.204404296875,165.90222981770833,10k,lamp,front,turquoise
